lane_id	question	head	family	model	transport	cleanliness	http	raw_answer	acceptance	exclusion_reason	raw_path
deepseek-q二-32270e65-08e7-4b16-8dca-3eb9f05c9cfd	二	deepseek	DeepSeek	deepseek-chat	DeepSeek OpenAI-compatible raw	prompt=question-only; independent HTTP lane; no prior findings	200	二: 十 	不受理	形式非数値	raw-v2-terra/deepseek/q二/deepseek-q二-32270e65-08e7-4b16-8dca-3eb9f05c9cfd.json
deepseek-q二-52f3f33e-1e88-4b69-9bd0-4ac9b437bffc	二	deepseek	DeepSeek	deepseek-chat	DeepSeek OpenAI-compatible raw	prompt=question-only; independent HTTP lane; no prior findings	200	二: 十 	不受理	形式非数値	raw-v2-terra/deepseek/q二/deepseek-q二-52f3f33e-1e88-4b69-9bd0-4ac9b437bffc.json
deepseek-q三-92031cb3-55ee-4a5b-9226-b517b61888c7	三	deepseek	DeepSeek	deepseek-chat	DeepSeek OpenAI-compatible raw	prompt=question-only; independent HTTP lane; no prior findings	200	三: 十 	不受理	形式非数値	raw-v2-terra/deepseek/q三/deepseek-q三-92031cb3-55ee-4a5b-9226-b517b61888c7.json
deepseek-q三-db6c4d23-2d4c-4860-8445-61dbab2b9bea	三	deepseek	DeepSeek	deepseek-chat	DeepSeek OpenAI-compatible raw	prompt=question-only; independent HTTP lane; no prior findings	200	三: 〇 	不受理	形式非数値	raw-v2-terra/deepseek/q三/deepseek-q三-db6c4d23-2d4c-4860-8445-61dbab2b9bea.json
deepseek-q三-3638c4be-32e2-413a-addd-07f48e10ec0e	三	deepseek	DeepSeek	deepseek-chat	DeepSeek OpenAI-compatible raw	prompt=question-only; independent HTTP lane; no prior findings	200	三: 十 	不受理	形式非数値	raw-v2-terra/deepseek/q三/deepseek-q三-3638c4be-32e2-413a-addd-07f48e10ec0e.json
deepseek-q三-50a83131-b425-4f31-bab5-f823d8cf3035	三	deepseek	DeepSeek	deepseek-chat	DeepSeek OpenAI-compatible raw	prompt=question-only; independent HTTP lane; no prior findings	200	三: 十 	不受理	形式非数値	raw-v2-terra/deepseek/q三/deepseek-q三-50a83131-b425-4f31-bab5-f823d8cf3035.json
deepseek-q三-89bbbf94-3133-4622-9eef-756206a109da	三	deepseek	DeepSeek	deepseek-chat	DeepSeek OpenAI-compatible raw	prompt=question-only; independent HTTP lane; no prior findings	200	三: 十 	不受理	形式非数値	raw-v2-terra/deepseek/q三/deepseek-q三-89bbbf94-3133-4622-9eef-756206a109da.json
deepseek-q四-2ebe3398-34ce-4f01-9847-ed433190e542	四	deepseek	DeepSeek	deepseek-chat	DeepSeek OpenAI-compatible raw	prompt=question-only; independent HTTP lane; no prior findings	200	四: 十 	不受理	形式非数値	raw-v2-terra/deepseek/q四/deepseek-q四-2ebe3398-34ce-4f01-9847-ed433190e542.json
deepseek-q四-6c61c373-6523-46ac-b8b6-ec8bf391a854	四	deepseek	DeepSeek	deepseek-chat	DeepSeek OpenAI-compatible raw	prompt=question-only; independent HTTP lane; no prior findings	200	四: 十 	不受理	形式非数値	raw-v2-terra/deepseek/q四/deepseek-q四-6c61c373-6523-46ac-b8b6-ec8bf391a854.json
deepseek-q四-7cedebf3-a107-486e-a838-a33dbf46ee12	四	deepseek	DeepSeek	deepseek-chat	DeepSeek OpenAI-compatible raw	prompt=question-only; independent HTTP lane; no prior findings	200	四: 十 	不受理	形式非数値	raw-v2-terra/deepseek/q四/deepseek-q四-7cedebf3-a107-486e-a838-a33dbf46ee12.json
deepseek-q四-cde6114f-03bd-4c60-8dbc-87fc33e5cfc7	四	deepseek	DeepSeek	deepseek-chat	DeepSeek OpenAI-compatible raw	prompt=question-only; independent HTTP lane; no prior findings	200	四: 〇 	不受理	形式非数値	raw-v2-terra/deepseek/q四/deepseek-q四-cde6114f-03bd-4c60-8dbc-87fc33e5cfc7.json
deepseek-q四-e8c2e7bc-40ee-4884-9c12-b82c66ea6538	四	deepseek	DeepSeek	deepseek-chat	DeepSeek OpenAI-compatible raw	prompt=question-only; independent HTTP lane; no prior findings	200	四: 十 	不受理	形式非数値	raw-v2-terra/deepseek/q四/deepseek-q四-e8c2e7bc-40ee-4884-9c12-b82c66ea6538.json
deepseek-q五-b5257173-d697-4dc2-9b4c-12f1b516926f	五	deepseek	DeepSeek	deepseek-chat	DeepSeek OpenAI-compatible raw	prompt=question-only; independent HTTP lane; no prior findings	200	五: 十 	不受理	形式非数値	raw-v2-terra/deepseek/q五/deepseek-q五-b5257173-d697-4dc2-9b4c-12f1b516926f.json
deepseek-q五-2d59ee22-77d1-4b99-af80-8a3aabfad1c2	五	deepseek	DeepSeek	deepseek-chat	DeepSeek OpenAI-compatible raw	prompt=question-only; independent HTTP lane; no prior findings	200	五: 答 	不受理	形式非数値	raw-v2-terra/deepseek/q五/deepseek-q五-2d59ee22-77d1-4b99-af80-8a3aabfad1c2.json
deepseek-q五-f84cf770-59e8-43dc-98e7-6529df7057ea	五	deepseek	DeepSeek	deepseek-chat	DeepSeek OpenAI-compatible raw	prompt=question-only; independent HTTP lane; no prior findings	200	五: 軸（愛↔無；棄）。愛端〇・無端十。 	不受理	形式非数値	raw-v2-terra/deepseek/q五/deepseek-q五-f84cf770-59e8-43dc-98e7-6529df7057ea.json
deepseek-q五-e4b99c50-d43a-46af-8153-2903bf05fc34	五	deepseek	DeepSeek	deepseek-chat	DeepSeek OpenAI-compatible raw	prompt=question-only; independent HTTP lane; no prior findings	200	五: 軸(愛↔無;棄)。愛端〇・無端十。 	不受理	形式非数値	raw-v2-terra/deepseek/q五/deepseek-q五-e4b99c50-d43a-46af-8153-2903bf05fc34.json
deepseek-q五-f498d89a-bd0a-4d43-9778-8e1286cc2804	五	deepseek	DeepSeek	deepseek-chat	DeepSeek OpenAI-compatible raw	prompt=question-only; independent HTTP lane; no prior findings	200	五: ✕ 	不受理	形式非数値	raw-v2-terra/deepseek/q五/deepseek-q五-f498d89a-bd0a-4d43-9778-8e1286cc2804.json
deepseek-q六-33827776-adc3-4344-85f0-3ebb45be8a02	六	deepseek	DeepSeek	deepseek-chat	DeepSeek OpenAI-compatible raw	prompt=question-only; independent HTTP lane; no prior findings	200	六: 軸(生↔死;夢)。生端〇・死端十 	不受理	形式非数値	raw-v2-terra/deepseek/q六/deepseek-q六-33827776-adc3-4344-85f0-3ebb45be8a02.json
deepseek-q六-ecdbf1f5-a5df-4d94-aac0-2cc2551c81cf	六	deepseek	DeepSeek	deepseek-chat	DeepSeek OpenAI-compatible raw	prompt=question-only; independent HTTP lane; no prior findings	200	六: 十 	不受理	形式非数値	raw-v2-terra/deepseek/q六/deepseek-q六-ecdbf1f5-a5df-4d94-aac0-2cc2551c81cf.json
deepseek-q六-633c1500-7788-4d2e-85b6-6d0c2ada8fa3	六	deepseek	DeepSeek	deepseek-chat	DeepSeek OpenAI-compatible raw	prompt=question-only; independent HTTP lane; no prior findings	200	六: 〇十 	不受理	形式非数値	raw-v2-terra/deepseek/q六/deepseek-q六-633c1500-7788-4d2e-85b6-6d0c2ada8fa3.json
deepseek-q六-37a6feb7-83d1-4674-9100-41a97c4ff8b2	六	deepseek	DeepSeek	deepseek-chat	DeepSeek OpenAI-compatible raw	prompt=question-only; independent HTTP lane; no prior findings	200	六: 軸(生↔死;夢)。生端〇・死端十 	不受理	形式非数値	raw-v2-terra/deepseek/q六/deepseek-q六-37a6feb7-83d1-4674-9100-41a97c4ff8b2.json
deepseek-q六-3db85ed3-efb6-4e2d-985b-994754a36d33	六	deepseek	DeepSeek	deepseek-chat	DeepSeek OpenAI-compatible raw	prompt=question-only; independent HTTP lane; no prior findings	200	六: 十〇 	不受理	形式非数値	raw-v2-terra/deepseek/q六/deepseek-q六-3db85ed3-efb6-4e2d-985b-994754a36d33.json
deepseek-q七-55418ecd-e784-476e-8e06-91e1a3ae91a3	七	deepseek	DeepSeek	deepseek-chat	DeepSeek OpenAI-compatible raw	prompt=question-only; independent HTTP lane; no prior findings	200	七: 待、忘、帰、残、死 	不受理	形式非候補列	raw-v2-terra/deepseek/q七/deepseek-q七-55418ecd-e784-476e-8e06-91e1a3ae91a3.json
deepseek-q七-65321934-cd87-4eae-b0a3-df905dab67fe	七	deepseek	DeepSeek	deepseek-chat	DeepSeek OpenAI-compatible raw	prompt=question-only; independent HTTP lane; no prior findings	200	七: 待、死、残、帰、忘 	不受理	形式非候補列	raw-v2-terra/deepseek/q七/deepseek-q七-65321934-cd87-4eae-b0a3-df905dab67fe.json
deepseek-q七-0534ed2c-cf17-4a7a-ad46-db07d298806b	七	deepseek	DeepSeek	deepseek-chat	DeepSeek OpenAI-compatible raw	prompt=question-only; independent HTTP lane; no prior findings	200	七: 待 帰 死 忘 残 	不受理	形式非候補列	raw-v2-terra/deepseek/q七/deepseek-q七-0534ed2c-cf17-4a7a-ad46-db07d298806b.json
deepseek-q七-dfd08d65-ece4-4649-9708-72b4aefce48d	七	deepseek	DeepSeek	deepseek-chat	DeepSeek OpenAI-compatible raw	prompt=question-only; independent HTTP lane; no prior findings	200	七: 忘 待 帰 残 死 	不受理	形式非候補列	raw-v2-terra/deepseek/q七/deepseek-q七-dfd08d65-ece4-4649-9708-72b4aefce48d.json
deepseek-q七-a04efa78-cc01-4ab3-81de-da590642f62b	七	deepseek	DeepSeek	deepseek-chat	DeepSeek OpenAI-compatible raw	prompt=question-only; independent HTTP lane; no prior findings	200	七: 忘 帰 待 死 残 	不受理	形式非候補列	raw-v2-terra/deepseek/q七/deepseek-q七-a04efa78-cc01-4ab3-81de-da590642f62b.json
deepseek-q八-d9d7acec-bbf5-403f-aeb0-0d04d33fa6f0	八	deepseek	DeepSeek	deepseek-chat	DeepSeek OpenAI-compatible raw	prompt=question-only; independent HTTP lane; no prior findings	200	八: 女神 	不受理	形式非候補一つ	raw-v2-terra/deepseek/q八/deepseek-q八-d9d7acec-bbf5-403f-aeb0-0d04d33fa6f0.json
deepseek-q八-56a1f34e-d88b-4802-9134-5baf4b296762	八	deepseek	DeepSeek	deepseek-chat	DeepSeek OpenAI-compatible raw	prompt=question-only; independent HTTP lane; no prior findings	200	八: 女神 	不受理	形式非候補一つ	raw-v2-terra/deepseek/q八/deepseek-q八-56a1f34e-d88b-4802-9134-5baf4b296762.json
deepseek-q八-937051ec-e90e-4b54-af75-e0a7c575fc07	八	deepseek	DeepSeek	deepseek-chat	DeepSeek OpenAI-compatible raw	prompt=question-only; independent HTTP lane; no prior findings	200	八: 娘 	不受理	形式非候補一つ	raw-v2-terra/deepseek/q八/deepseek-q八-937051ec-e90e-4b54-af75-e0a7c575fc07.json
deepseek-q八-6958916f-5aad-4953-8528-77d008883f54	八	deepseek	DeepSeek	deepseek-chat	DeepSeek OpenAI-compatible raw	prompt=question-only; independent HTTP lane; no prior findings	200	八: 日 	不受理	形式非候補一つ	raw-v2-terra/deepseek/q八/deepseek-q八-6958916f-5aad-4953-8528-77d008883f54.json
deepseek-q八-5e584a66-4043-4269-a084-30fb4e19d43a	八	deepseek	DeepSeek	deepseek-chat	DeepSeek OpenAI-compatible raw	prompt=question-only; independent HTTP lane; no prior findings	200	八: 女神 	不受理	形式非候補一つ	raw-v2-terra/deepseek/q八/deepseek-q八-5e584a66-4043-4269-a084-30fb4e19d43a.json
nyari-fable-q一-43b4101b-76bd-4f3e-bbed-3bd5ea726439	一	nyari-fable	Anthropic	claude-fable-5	Anthropic Messages raw	prompt=question-only; independent HTTP lane; no prior findings	429	Error 	不受理	HTTP429	raw-v2-terra/nyari-fable/q一/nyari-fable-q一-43b4101b-76bd-4f3e-bbed-3bd5ea726439.json
nyari-fable-q一-d63cd7ed-da7d-4aa2-93f9-645d59209a4c	一	nyari-fable	Anthropic	claude-fable-5	Anthropic Messages raw	prompt=question-only; independent HTTP lane; no prior findings	429	Error 	不受理	HTTP429	raw-v2-terra/nyari-fable/q一/nyari-fable-q一-d63cd7ed-da7d-4aa2-93f9-645d59209a4c.json
nyari-fable-q一-bb1ed14b-9b33-4a3d-b94f-01b2775848d6	一	nyari-fable	Anthropic	claude-fable-5	Anthropic Messages raw	prompt=question-only; independent HTTP lane; no prior findings	429	Error 	不受理	HTTP429	raw-v2-terra/nyari-fable/q一/nyari-fable-q一-bb1ed14b-9b33-4a3d-b94f-01b2775848d6.json
nyari-fable-q一-1f7440b5-114a-488b-b0c4-8af52cc422ab	一	nyari-fable	Anthropic	claude-fable-5	Anthropic Messages raw	prompt=question-only; independent HTTP lane; no prior findings	429	Error 	不受理	HTTP429	raw-v2-terra/nyari-fable/q一/nyari-fable-q一-1f7440b5-114a-488b-b0c4-8af52cc422ab.json
kimi-q一-e4cf162c-f61d-44a6-926b-18afe0189fcc	一	kimi	Moonshot	kimi-k2.7-code	Moonshot OpenAI-compatible raw	prompt=question-only; independent HTTP lane; no prior findings	429	Your account org-add2af2bc9894ba58473a8b522e6c7f1 <ak-fbjpw87by5t111cx7nq1> is suspended due to insufficient balance, please recharge your account or check your plan and billing details 	不受理	HTTP429-quota	raw-v2-terra/kimi/q一/kimi-q一-e4cf162c-f61d-44a6-926b-18afe0189fcc.json
kimi-q一-f162fa0b-f4a5-40ba-92b3-cfd7b24365fb	一	kimi	Moonshot	kimi-k2.7-code	Moonshot OpenAI-compatible raw	prompt=question-only; independent HTTP lane; no prior findings	429	Your account org-add2af2bc9894ba58473a8b522e6c7f1 <ak-fbjpw87by5t111cx7nq1> is suspended due to insufficient balance, please recharge your account or check your plan and billing details 	不受理	HTTP429-quota	raw-v2-terra/kimi/q一/kimi-q一-f162fa0b-f4a5-40ba-92b3-cfd7b24365fb.json
kimi-q一-515538ce-4b8e-45a7-9856-e6b6d2346861	一	kimi	Moonshot	kimi-k2.7-code	Moonshot OpenAI-compatible raw	prompt=question-only; independent HTTP lane; no prior findings	429	Your account org-add2af2bc9894ba58473a8b522e6c7f1 <ak-fbjpw87by5t111cx7nq1> is suspended due to insufficient balance, please recharge your account or check your plan and billing details 	不受理	HTTP429-quota	raw-v2-terra/kimi/q一/kimi-q一-515538ce-4b8e-45a7-9856-e6b6d2346861.json
kimi-q一-0ace893a-b61d-4d3c-bb26-a2ff7a4de9ef	一	kimi	Moonshot	kimi-k2.7-code	Moonshot OpenAI-compatible raw	prompt=question-only; independent HTTP lane; no prior findings	429	Your account org-add2af2bc9894ba58473a8b522e6c7f1 <ak-fbjpw87by5t111cx7nq1> is suspended due to insufficient balance, please recharge your account or check your plan and billing details 	不受理	HTTP429-quota	raw-v2-terra/kimi/q一/kimi-q一-0ace893a-b61d-4d3c-bb26-a2ff7a4de9ef.json
novita-qwen-q一-8c3a8f3c-fd41-4030-8a04-09f49b4db9bf	一	novita-qwen	Novita	qwen/qwen3.7-max	Novita OpenAI-compatible raw	prompt=question-only; independent HTTP lane; no prior findings	403	not enough balance 	不受理	HTTP429-quota	raw-v2-terra/novita-qwen/q一/novita-qwen-q一-8c3a8f3c-fd41-4030-8a04-09f49b4db9bf.json
google-gemini-q一-d911dfa8-f16c-4405-bf89-e5acb23bbab6	一	google-gemini	Google	gemini-2.5-flash	Google GenerateContent raw	prompt=question-only; independent HTTP lane; no prior findings	401	Request had invalid authentication credentials. Expected OAuth 2 access token, login cookie or other valid authentication credential. See https://developers.google.com/identity/sign-in/web/devconsole-project. 	不受理	HTTP401-auth	raw-v2-terra/google-gemini/q一/google-gemini-q一-d911dfa8-f16c-4405-bf89-e5acb23bbab6.json
